nota_fiscal;estabelecimento;pn_fornecedor;descricao_fornecedor;data_fiscal;item;numero_processo;Contrato;status_do_contrato;vencimento;depto_de_compras;quantidade_unidade_estoque;preco_total_linha;cond.pagamento;departamento;família;gestão;curva
72097;VIES;070075883;SUL AMERICA C. N. SEG. GERAIS;14/02/2025;DCSR99999904;OC0044959;CS0000951;Concluído;31/03/2050;VIESAD;33828,11;33828,11;30 DIAS;;;ADMINISTRATIVO;A
268362;SRS;070076106;ANDRADE E L. TELECOMUNIC. LTDA;14/02/2025;DCSR99999905;OC0044822;CS0000983;Ativo;31/03/2050;SRSADM;1633,45;1633,45;30 DIAS;TI;COMUNICAÇÃO;ADMINISTRATIVO;B
11057;VIES;070076010;ADM AR CONDICIONADO LTDA EPP;14/02/2025;DCSR00140103;OC0044825;CS0000712;Ativo;31/03/2050;VIESFB;1;4926,14;30 DIAS;MANUFATURA VIES;SERVIÇOS PRESTADOS;INDUSTRIAL VIES;C
6980;VIES;090004703;DBA TECNOLOGIA DA INFORMAÇÃO E COM;14/02/2025;DCSR00010710;OC0044579;CS0000914;Ativo;31/03/2050;VIESAD;1870;1870;15 DIAS;TI;SERVIÇOS PRESTADOS;ADMINISTRATIVO;B
183914;VIES;070001502;THOMSON REUTERS BRASIL CONTEUDO E T;14/02/2025;DCSR00010303;OC0044589;CS0000956;Ativo;01/09/2026;VIESAD;10771,59;10771,59;30 DIAS;SUPPLY;SERVIÇOS PRESTADOS;SUPPLY;B
102113;SRS;090004663;DI2S DADOS,INTEG.INF.SOL.LTDA;14/02/2025;DCSR00010517;OC0044594;CS0000977;Ativo;31/03/2050;SRSADM;1499,26;1499,26;30 DIAS;TI;SERVIÇOS PRESTADOS;ADMINISTRATIVO;B
6947;VIES;090095678;REDEMPRESA TECNOLOGIA LTDA-ME;14/02/2025;DCSR00010710;OC0044587;CS0000967;Ativo;01/05/2027;VIESAD;7850;7850;30 DIAS;TI;SERVIÇOS PRESTADOS;ADMINISTRATIVO;B
6945;VIES;090095678;REDEMPRESA TECNOLOGIA LTDA-ME;14/02/2025;DCSR00010710;OC0044585;CS0000967;Ativo;01/05/2027;VIESAD;22560;22560;30 DIAS;TI;SERVIÇOS PRESTADOS;ADMINISTRATIVO;B
100506;333;090010398;WHIRLPOOL S.A;14/02/2025;DCSR00030403;OC0044930;CS0000715;Ativo;31/03/2050;333FAB;1;75,08;30 DIAS;REPOSIÇÃO;LOCAÇÕES EQUIPAMENTOS / VEÍCULOS;INDUSTRIAL VIES;C
74379;VIES;070002594;CTI COMUNIC.DADOS E TECN LTDA;14/02/2025;DCSR99999905;OC0044719;CS0000931;Ativo;27/02/2026;VIESAD;153,68;153,68;30 DIAS;TI;COMUNICAÇÃO;ADMINISTRATIVO;B
202502;SRS;070000007;ALINE DE PAULA ALMEIDA;14/02/2025;DCSR00040803;OC0044966;CS0000995;Ativo;12/04/2027;SRSFAB;2340;2340;5 DIAS;RECURSOS HUMANOS;SERVIÇOS PRESTADOS;ADMINISTRATIVO;A
109220;VIES;090002958;OPEN TEXT TECNOLOGIA DA INFORMAÇÃO;14/02/2025;DCSR00010301;OC0044582;CS0000910;Ativo;31/03/2050;VIESAD;68,51;68,51;30 DIAS;TI;SERVIÇOS PRESTADOS;ADMINISTRATIVO;B
2755;SRS;070091514;GRC SOLUTIONS CONSULTORIA;14/02/2025;DCSR00170105;OC0045046;CS0001057;Ativo;31/12/2026;SRSADM;600;600;20 DIAS;SUPPLY;OUTROS;SUPPLY;B
36475;VIES;090010020;ENGEMAN ENTERP. ASSET MAN.LTDA;14/02/2025;DCSR00010701;OC0044581;CS0000944;Ativo;30/06/2026;VIESAD;1;753,16;30 DIAS;MANUFATURA VIES;SERVIÇOS PRESTADOS;INDUSTRIAL VIES;Indef
2056;OUROS;070090846;TENSAO ELETRICA MANU. E  INST. LTDA;13/02/2025;DCSR00140114;OC0044022;CS0001019;Ativo;30/05/2027;COFAB;1;2337,95;20 DIAS;MANUFATURA CO;MANUTENÇÃO ELÉTRICA;INDUSTRIAL CO;B
61613;VIES;070001726;KINTO BRASIL SERVICOS DE MOBILIDADE;13/02/2025;DCSR99999902;OC0044945;CS0000826;Concluído;31/03/2050;VIESFB;10318,32;10318,32;30 DIAS;;;SUPPLY;A
603721;VIES;070090001;CLICK ENTREGAS;13/02/2025;DCSR00100502;OC0044765;CS0000974;Ativo;31/03/2050;VIESAD;7;7;30 DIAS;SUPPLY;SERVIÇOS PRESTADOS;SUPPLY;C
